+--------+----------------------------+----------------------------+-----------------+-----------------+-----------------+----------------+-------+----------+----------------------------+----------------------------+
| Period | Period Start               | Period End                 | Max             | Min             | Avg             | Sum            | Count | Duration | Duration Start             | Duration End               |
| 360    | 2018-08-10T18:46:17.365000 | 2018-08-10T18:52:17.365000 | 51.4584723516   | 45.0007386552   | 48.5834652701   | 194.333861081  | 4     | 235.8    | 2018-08-10T18:46:18.355000 | 2018-08-10T18:50:14.155000 |
| 360    | 2018-08-10T18:52:17.365000 | 2018-08-10T18:58:17.365000 | 52.1597776627   | 31.0305364751   | 42.1987639352   | 210.993819676  | 5     | 235.812  | 2018-08-10T18:52:18.343000 | 2018-08-10T18:56:14.155000 |
| 360    | 2018-08-10T18:58:17.365000 | 2018-08-10T19:04:17.365000 | 32.8731620471   | 28.2535279913   | 30.751064256    | 184.506385536  | 6     | 235.849  | 2018-08-10T18:58:18.323000 | 2018-08-10T19:02:14.172000 |
| 360    | 2018-08-10T19:04:17.365000 | 2018-08-10T19:10:17.365000 | 37.0762163606   | 32.0013829308   | 34.8197263491   | 208.918358094  | 6     | 235.853  | 2018-08-10T19:04:18.323000 | 2018-08-10T19:08:14.176000 |
| 360    | 2018-08-10T19:10:17.365000 | 2018-08-10T19:16:17.365000 | 41.5401419934   | 37.6978582812   | 39.5978183477   | 237.586910086  | 6     | 235.856  | 2018-08-10T19:10:18.328000 | 2018-08-10T19:14:14.184000 |
| 360    | 2018-08-10T19:16:17.365000 | 2018-08-10T19:22:17.365000 | 48.9081320652   | 42.7107187098   | 45.5711428949   | 273.426857369  | 6     | 235.664  | 2018-08-10T19:16:18.529000 | 2018-08-10T19:20:14.193000 |
| 360    | 2018-08-10T19:22:17.365000 | 2018-08-10T19:28:17.365000 | 53.680142008    | 41.8983988944   | 48.6053399482   | 291.632039689  | 6     | 235.808  | 2018-08-10T19:22:18.373000 | 2018-08-10T19:26:14.181000 |
| 360    | 2018-08-10T19:28:17.365000 | 2018-08-10T19:34:17.365000 | 38.1338085967   | 32.1846364359   | 34.1219783341   | 272.975826673  | 8     | 235.862  | 2018-08-10T19:28:18.330000 | 2018-08-10T19:32:14.192000 |
| 360    | 2018-08-10T19:34:17.365000 | 2018-08-10T19:40:17.365000 | 42.9760025826   | 36.9058671669   | 38.998347517    | 311.986780136  | 8     | 235.758  | 2018-08-10T19:34:18.432000 | 2018-08-10T19:38:14.190000 |
| 360    | 2018-08-10T19:40:17.365000 | 2018-08-10T19:46:17.365000 | 50.9973359183   | 40.9629181781   | 45.1603158835   | 361.282527068  | 8     | 235.832  | 2018-08-10T19:40:18.353000 | 2018-08-10T19:44:14.185000 |
| 360    | 2018-08-10T19:46:17.365000 | 2018-08-10T19:52:17.365000 | 56.0732653029   | 42.3146559531   | 49.2202577376   | 393.7620619    | 8     | 235.796  | 2018-08-10T19:46:18.396000 | 2018-08-10T19:50:14.192000 |
| 360    | 2018-08-10T19:52:17.365000 | 2018-08-10T19:58:17.365000 | 41.1906975386   | 31.4807378569   | 36.0265476552   | 360.265476552  | 10    | 235.82   | 2018-08-10T19:52:18.372000 | 2018-08-10T19:56:14.192000 |
| 360    | 2018-08-10T19:58:17.365000 | 2018-08-10T20:04:17.365000 | 47.0333351789   | 35.8548465652   | 41.5873832782   | 415.873832782  | 10    | 235.786  | 2018-08-10T19:58:18.405000 | 2018-08-10T20:02:14.191000 |
| 360    | 2018-08-10T20:04:17.365000 | 2018-08-10T20:10:17.365000 | 53.6597105532   | 44.8232923328   | 48.8833160412   | 488.833160412  | 10    | 235.794  | 2018-08-10T20:04:18.407000 | 2018-08-10T20:08:14.201000 |
| 360    | 2018-08-10T20:10:17.365000 | 2018-08-10T20:16:17.365000 | 58.0786551453   | 51.3100311677   | 53.8102495949   | 538.102495949  | 10    | 235.802  | 2018-08-10T20:10:18.406000 | 2018-08-10T20:14:14.208000 |
| 360    | 2018-08-10T20:16:17.365000 | 2018-08-10T20:22:17.365000 | 63.9698463574   | 56.6196868573   | 60.8497796698   | 608.497796698  | 10    | 235.788  | 2018-08-10T20:16:18.406000 | 2018-08-10T20:20:14.194000 |
| 360    | 2018-08-10T20:22:17.365000 | 2018-08-10T20:28:17.365000 | 65.3619434838   | 60.66740578     | 63.1416118057   | 631.416118057  | 10    | 235.769  | 2018-08-10T20:22:18.423000 | 2018-08-10T20:26:14.192000 |
